label	official_url	commit	target_path	proxy	mirror	lfs	verification
method:o_lora	https://github.com/cmnfriend/O-LoRA.git	07117e1fc4a5f5ad9308a815a42cee8f46502dc8	methods/o_lora/source	yes	no	no	official GitHub HEAD resolved with git ls-remote and vendored without nested .git
method:progressive_prompts	https://github.com/arazd/ProgressivePrompts.git	01572d6a73c0576b070ceee00dbe4f5bc278423f	methods/progressive_prompts/source	yes	no	no	official GitHub HEAD resolved and vendored without nested .git
method:continual_t0	https://github.com/ThomasScialom/T0_continual_learning.git	4841ca267b2447d1b58d677a992b6808d9eaacf2	methods/continual_t0/source	yes	no	no	official GitHub HEAD resolved and vendored without nested .git
method:lfpt5	https://github.com/qcwthu/Lifelong-Fewshot-Language-Learning.git	cf7d17ce7de6a707d929d0542b3d5e639569855f	methods/lfpt5/source	yes	no	no	official GitHub HEAD/archive; generated transformers/build excluded after disk failure
method:ours	project-owner local source	d711d912926c58c13acc02b3c3e4cfddd9f2c969-dirty	methods/ours/source/project_local	no	no	no	vendored from /root/autodl-tmp/Lora-code subset; project-local source, not external official; dirty status documented
method:lb_cl	no official external code verified; paper https://openreview.net/forum?id=ZxtaNh5UYB	d711d912926c58c13acc02b3c3e4cfddd9f2c969-dirty	methods/lb_cl/source/project_local	yes	no	no	web/paper search did not verify author code; project-local scaffold/config vendored and labeled non-official
method:sequential_lora	no standalone official source verified; O-LoRA context https://github.com/cmnfriend/O-LoRA.git	d711d912926c58c13acc02b3c3e4cfddd9f2c969-dirty	methods/sequential_lora/source/project_local	yes	no	no	project-local wrapper/config plus O-LoRA official baseline context
method:replay_lora	no standalone official source verified; O-LoRA context https://github.com/cmnfriend/O-LoRA.git	d711d912926c58c13acc02b3c3e4cfddd9f2c969-dirty	methods/replay_lora/source/project_local	yes	no	no	project-local wrapper/config plus O-LoRA official baseline context
benchmark:trace	https://github.com/BeyonderXX/TRACE.git	462e39f616134f4f819efeb3baea8638c03c7db4	benchmark/trace/source	yes	no	no	official GitHub HEAD resolved and vendored without nested .git
benchmark:instrdialog_citb	https://github.com/hyintell/CITB.git	bf50533b5bced4c388691ecc75e26773da96b3fd	benchmark/instrdialog/source	yes	no	no	official local clone; data/tasks now included; no nested .git
benchmark:instrdialogpp_citb	https://github.com/hyintell/CITB.git	bf50533b5bced4c388691ecc75e26773da96b3fd	benchmark/instrdialog/source	yes	no	no	shared CITB source reused; no duplicate source tree
benchmark:multiwoz	https://github.com/budzianowski/multiwoz.git	fe0c8e65cfcd8462bd33c86e35f21addc84ca82b	benchmark/multiwoz_nlg/source/multiwoz	yes	no	yes	official local clone; complete data dir included; unzipped >100MB data.json files tracked by Git LFS
benchmark:multiwoz_evaluation	https://github.com/Tomiinek/MultiWOZ_Evaluation.git	cd3f0ee3a936a2d1c8567f440a0b71b215d7f991	benchmark/multiwoz_nlg/source/evaluation	yes	no	no	official GitHub HEAD resolved and vendored without nested .git
benchmark:seq_glue	no standalone official Seq-GLUE-only source verified; GLUE https://gluebenchmark.com/	d711d912926c58c13acc02b3c3e4cfddd9f2c969-dirty	benchmark/seq_glue/source/project_local	yes	no	no	project-local 8-task stream/config/scripts vendored; source limitations documented
